Forecasted Date,Forecasted Prices
2025-06-18,869.5097728599202
2025-06-19,869.1712880968549
2025-06-20,869.3033168323699
2025-06-21,869.651226146634
2025-06-22,869.7061755871956
2025-06-23,869.563211673715
2025-06-24,869.5855369006949
2025-06-25,869.8349119900402
2025-06-26,869.384194178646
2025-06-27,869.3695315784713
2025-06-28,869.531597095032
2025-06-29,869.3576087939292
2025-06-30,868.939600288528
2025-07-01,868.6388461189598
2025-07-02,868.5163957595246
2025-07-03,867.6457145104883
2025-07-04,867.164947506214
2025-07-05,866.8181873629713
2025-07-06,866.0974903336797
2025-07-07,865.1011035327597
2025-07-08,864.1978082483789
2025-07-09,863.4573340991639
2025-07-10,861.9628444704389
2025-07-11,860.863012656513
2025-07-12,859.9130733705696
2025-07-13,858.6165994720639
2025-07-14,857.0834721785944
2025-07-15,855.6939560599222
2025-07-16,854.5288402658958
2025-07-17,852.6816533575588
2025-07-18,851.3104781578819
2025-07-19,850.1787581427019
2025-07-20,848.7968517644921
2025-07-21,847.2798090241868
2025-07-22,846.0112869757689
2025-07-23,845.0735701910492
2025-07-24,843.5597071885572
2025-07-25,842.6252918312391
2025-07-26,842.0292826772943
2025-07-27,841.2756169677037
2025-07-28,840.4710926661219
2025-07-29,839.9894331602918
2025-07-30,839.9014974465965
2025-07-31,839.2876425416398
2025-08-01,839.2897619162231
2025-08-02,839.6523869074468
2025-08-03,839.8646010977559
